,,
,,
"Title","Subject","Description"
"scpa01304001006.JPG","Baker, W. R.; Benson, Fritz; Bonner, H. E.; Broten, Louis; Chamberlain, Oscar; Daniels_; Daniels, W. M.; Droz, Al; Droz, Dan; Earnest, Roy; Hurt, D. M.; Kimmell, L. R.; Lambert, Herny; Lee, R. E.; Ogden, Ed; Paradis, A.; Peterson, C. E.; Prindle & Brouillet; Rusch, Geo.; Spedden, Henry R.; Terry, W. L.; Townsend, Earl; Walsh, Geo.; Wright, J. L.; Wright, J. S.;",
"scpa01304001008.JPG","Baker, W. R.; Barman, F.; Barman, F.; Cameron_; Champ, Harley; Colville, Leader; Darnell, C. C.; Droz, Al; Gayman, Lee; Hunt Hardware Co.; Kimmel, L. R.; Ledgerwood_; Ogden, Ed; Prindle & Brouillet; Spedden, H. R.; St. Clair, Chancy; Townsend, Earl;",
"scpa01304001014.JPG","Arnold, A.; Baeumle, Chas.; Baker, W. R.; Bell, O. N.; Bruce, M. D.; Colville Bakery; Colville Grocery Co.; Colville Laundry; Droz, L.; Droz_; J. H. Lasswell & Son; Keller_; Ostberg & Klohe; Parody, R. E.; Rich, B. C.; Townsend & Hodgson;",
,,
"Title","Subject","Description"
"Hotel Lee Ledger (Pg 003)","Hotels-Washington-Colville; Lodging houses-Washington-Colville; Washington-Stevens","Hotel Lee Ledger (Pg 003)"
,,
"scpa01304007003.JPG","Palm, John ; Hughes, Dorsey ; Palm, Axel ; Cummings, P J; Hayes, Thos ; Ricker, James ; Swanson, A ; Carson, C B; Price, Jack ; Davis, H ; Ramser, Robt ; Frank, F ; Jones, F ; Martin, Curt ; Brown, W G; Kempe, Paul ; Bunnlet, All ; Michalson, O D; Loiselle, A J;",
"scpa01304007004.JPG","Jones, Robt U; Alexander, Florence ; Frazier, J O; Robinson, H ; Meck, L N; Scott, J ; Cummings, P J; Prasen, Bill ; Pease, D OW; Michalson, O D; Nehoms, M ; Rettinger, ; Theakin, ; Newton, S W; Ringer, Roy ; Peterson, John ; Elliott, A E; Coffin, J A; Brown, W G; Peaser, W ;",
"scpa01304007005.JPG","Kirsen, John ; Crimsbent, Gordon ; Rawe, Clarence ; Knox, Eldon ; Cobain, Stewart ; Butorac, Mike ; Jannie, Joe A; Mainore, Chanceford ; Brodisius, Harvey ; Tyllis, Alex ; Newton, S W; Nelson, M ; Dahl, A T; Clark, A ; Fedlis, ; Pease, D ; Russell, Clara ; Sneath, Edward J; Carson, C B; Price, Jayce ; Bwausou, A ; Lasswell, I J; Day, W ;",
"scpa01304007006.JPG","Republic BB Team, ; Lydon, Mike ; Jewell, John ; Mason, Sid ; Jewell, Arthur ; Cook, Roy ; Hillyard, Norman ; Chapin, Howard ; Trazpin, Eugene ; Larson, Carl ; Clark, Lyle ; Day, W W; Harrigan, ; Garrett, H A; Pilne, L F; Williams, Donald ; Maki, Walter ; Reese, Dale ; Rantson, Chester ; Willard, Gual ; Reese, David ; Fonery, Floyd ; Tedlic, F H; Russell, Clara ;",
"scpa01304007007.JPG","Beal, D S; Calloway, Ed ; King, Ellard ; Lranyurd, K ; Guanther, Floyd ; Kulzer, Les ; Flaming, Linton ; Nugent, John ; Tramfench, Frank ; Jaques, M B; McFinley, ; Jewell, C A; Town, John ; Klingler, Harvey ; Lasswell, I J; Newton, S W;",
,,
"Title","Subject","Description"
"Stevens County Road Tax List for District No 2 1886","Railroad construction & maintenance-Washington-Stevens; Taxes-Washington-Stevens","Stevens County Road Tax List for District No 2 1886, Page 1"
,,
"scpa01305003001.JPG","Bryant, D.; Bettis, J.; Bonnett, A. A.; Bonnett, R. T.; Blany, Mc.; Brooks, Chas.; Brown, Thomas; Brown, B. G.; Brown, Wm.; Brown, B. L.; Bishop, W. H.; Cox, John; Cummings, Chas R.; Cavanage, W. T.; Colwill, G. H.; Catholic Mission; Douglas, Saml; Dupuis, Mose; Cross, T. H.; Edwards, James; Fox, James; Flinn, Thomas; Graham, John; Goetter, F. B.; Gelbman, M.; Glassford, Wm.; Graham, Philip; Hanson, Hank; Hivy, Wm.; Hall, Winslow; Hall, Thomas; Hall, Osner; Hivy, _; Hoffield, R.;",
"scpa01305003002.JPG","Jandrow, A. Sr.; Jandrow, A. Jr.; Jackson, Wm.; Jones, Saml; Johnson, Frantral; Kinsley, John R.; Klindosty, John; Luckenbel, J. C.; La Framboyse, _; Langley, Robert; La Bom, David; Linsley, N. E.; Louis, T.; Leipp, John; Meyers, E.; Moore, James; Meyers, L. W.; Meyers, George; Meyers, Jacob; Murry, Wm.; Montgomery, C. H.; McNern, Archie; McClintie, _; McCaslin, _; McFagan, Alix; Meyer, H. E.; McDonald, John; McClure, T. H.; McKenzie, J. H.; Miner, A. J.; McKenzie, Jennie; Markel, G.; Martillute, J.; Mitchell, John;",
"scpa01305003003.JPG","Nicholson, George; Nelson, L. M.; Oppenheimer, E.; Oaks, W. M.; Oaks, Henry; Oaks, W. J.; Osneg, John; Osner, Oaks; Obye, L. W.; Peone, Narvis; Peone, Dennis; Peone, Louis; Peone, James; Price, Theodore; Prior, H.; Price, C.; Richard, Edward; Ripley, W. C.; Roy, Joseph; Stewart, Charles; Schneider, Geo. C.; Schmidt, Wm.; Schirfele, Louis; Singleton, Wm.; Sherette, Antoine; Sisters of Charity; Seviers, Paul; Turner, R. S.; Shaw, B.; Sherette, Alex; Swain, E. L.;",
"scpa01305003004.JPG","Underwood, R. S.; Woody, Wm.; Wright, W. H.; Willsobach, B. T.; Weitman, S. H.; Wolff, Francis; Wynne, A.; Waldorf, George; Young, J. L.; Young, H.; Zarachi, James; Wierer, A.; Bivens, W.; Benoist, A. E.; Benoist, Alf.; Dogates, S.; Dykeman, John; Edwards, Janes; Brown, Thomas; Burley, J. M.; Thomas, G.; Miller, W.; Vanflete, L. G.;",
"scpa01305003005.JPG","Colwell, A. B. F.; Douglas and Kearny; Anderson, A.; Austin, Sr.; Austin, Jr.; Arnold, Av; Burin, W.; Cusan, L. C.; Crane, W. E.; Chamberlain, S. A.; Dingle, P. B.; Ford, ; Graham, Philip ; Gardiner, Dan; Hoss, Fred; Jones, Wm.; Knern, Andrew Mc; Mortillitle, C.; Manly, S. H.; McGunn, Warren; Mutle, David; Quinn, R.; Savage, T. L.; Savage, I. E.; Stone, W. R.; Sampson, U.; Sherette, Frank; Slitzel, _; Quin, Edward; Ford, H. G.; Macdonele, J. H.;",
,,
"Title","Subject","Description"
"Terra Cotta Order Book (Pg 005) by James D. Mason, Chemist, Washington Brick Lime Co. List of buildings done and glazes used","Terra-cotta-Washington-Clayton; Terra-cotta-Washington-Stevens; Chemistry-Washington-Stevens; Paints & varnishes","Terra Cotta Order Book by James D. Mason, Chemist, Washington Brick Lime Co. List of buildings done and glazes used "
,,
"scpa01304003005.JPG","Names/locations not extracted",
"scpa01304003006.JPG","Names/locations not extracted",
"scpa01304003007.JPG","Names/locations not extracted",
"scpa01304003008.JPG","Names/locations not extracted",
"scpa01304003009.JPG","Names/locations not extracted",
